Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"01550900M","F - FUSE - FUSEHOLDER - 154 - SMD","BMS_F_A, BMS_F_B","01550900M","C108518","01550900M","2"
"SS210","D - DIODE - SCHOTTKY - 100V - 2A","BMS_VA_D, BMS_VB_D, MCU_D?","DO-214AC","C14996","SS210","3"
"BITSNAP_GF_B","U - IC - Bitsnap CPU, NGFF B Key","MCU?","POWERNET-MAC","C2761344","POWERNET_MAC","1"
"2-406549-1","J - JACK - ETHERNET - Right - THT","POE_J_A, POE_J_B","TE_2-406549-1","C125068","2-406549-1","2"
"45586-0005","J - JACK - MOLEX MINI-FIT JR PCIE","POE_J_PCIE_A, POE_J_PCIE_B","45586-000Y","None","45586-0005","2"
"918-418K2023S40001","J - JACK - USB - Type C - Recepticle - SMT - 90°","POE_J_USB","DX07S016JA1R1500","C167321","918-418K2023S40001","1"
"0402WGF5101TCE","R - RESISTOR - SMD - 5.1k - 1% - 0402","POE_R_AA, POE_R_AB","R_0402","C25905","0402WGF5101TCE","2"
"0402WGF0000TCE","R - RESISTOR - SMD - 0R - 1% - 0402","R_AVSS?, R_THREEV?, R_VDDA?","R_0402","C17168","0402WGF0000TCE","3"
